ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Real Face,Joined,Contract Valid Until,Height,Weight,Release Clause,Kit Number,Best Overall Rating,Position_clean,Body Type Clean,Attacking Work Rate,Defensive Work Rate,Loaned From_clean
209658,L. Goretzka,27,Germany,87,88,FC Bayern München,91000000.0,115000.0,2312,Right,4.0,4.0,3.0,Yes,2018-07-01,2026,,3.628736,€157M,8.0,,SUB,Unique,High,Medium,
212198,Bruno Fernandes,27,Portugal,86,87,Manchester United,78500000.0,190000.0,2305,Right,3.0,3.0,4.0,Yes,2020-01-30,2026,,2.721552,€155M,8.0,,LCM,Unique,High,High,
224334,M. Acuña,30,Argentina,85,85,Sevilla FC,46500000.0,46000.0,2303,Left,2.0,3.0,3.0,No,2020-09-14,2024,,2.721552,€97.7M,19.0,,LB,Stocky,High,High,
192985,K. De Bruyne,31,Belgium,91,91,Manchester City,107500000.0,350000.0,2303,Right,4.0,5.0,4.0,Yes,2015-08-30,2025,,3.175144,€198.9M,17.0,,RCM,Unique,High,High,
224232,N. Barella,25,Italy,86,89,Inter,89500000.0,110000.0,2296,Right,3.0,3.0,3.0,Yes,2020-09-01,2026,,2.721552,€154.4M,23.0,,RCM,Normal,High,High,
212622,J. Kimmich,27,Germany,89,90,FC Bayern München,105500000.0,130000.0,2283,Right,4.0,4.0,3.0,Yes,2015-07-01,2025,,3.175144,€182M,6.0,,RDM,Normal,High,Medium,
197445,D. Alaba,30,Austria,86,86,Real Madrid CF,55500000.0,220000.0,2277,Left,4.0,4.0,3.0,Yes,2021-07-01,2026,,3.175144,€113.8M,4.0,,LCB,Normal,Medium,Medium,
187961,22 Paulinho,32,Brazil,83,83,Al Ahli,28500000.0,61000.0,2273,Right,3.0,4.0,4.0,Yes,2021-07-22,2024,,3.628736,€48.5M,15.0,,LCM,Normal,High,High,
208333,E. Can,28,Germany,82,82,Borussia Dortmund,30500000.0,63000.0,2271,Right,3.0,4.0,3.0,Yes,2020-02-18,2024,,3.628736,€51.9M,23.0,,SUB,Stocky,Medium,High,
210514,João Cancelo,28,Portugal,88,88,Manchester City,82500000.0,250000.0,2262,Right,3.0,4.0,4.0,Yes,2019-08-07,2027,,3.175144,€152.6M,7.0,,LB,Unique,High,Medium,
228251,L. Pellegrini,26,Italy,84,87,Roma,55000000.0,95000.0,2258,Right,2.0,4.0,3.0,Yes,2017-07-01,2026,,3.175144,€97.6M,7.0,,RCM,Lean,High,High,
177003,L. Modrić,36,Croatia,88,88,Real Madrid CF,29000000.0,230000.0,2257,Right,4.0,4.0,4.0,Yes,2012-08-01,2023,,2.721552,€59.5M,10.0,,RCM,Lean,Medium,Medium,
223848,S. Milinković-Savić,27,Serbia,86,87,Lazio,77500000.0,90000.0,2250,Right,3.0,5.0,4.0,Yes,2015-08-06,2024,,3.175144,€137.6M,21.0,,RCM,Normal,High,Medium,
225193,Merino,26,Spain,83,86,Real Sociedad,47000000.0,49000.0,2247,Left,1.0,3.0,3.0,Yes,2018-07-12,2025,,3.628736,€102.2M,8.0,,LCM,Normal,High,High,
226161,Marcos Llorente,27,Spain,84,85,Atlético de Madrid,48000000.0,81000.0,2244,Right,3.0,4.0,3.0,Yes,2019-07-01,2027,,3.175144,€102M,14.0,,RCM,Lean,High,Medium,
212616,R. De Paul,28,Argentina,84,84,Atlético de Madrid,42000000.0,85000.0,2240,Right,1.0,3.0,4.0,No,2021-07-12,2026,,3.175144,€86.1M,5.0,,SUB,Normal,High,Medium,
181458,I. Perišić,33,Croatia,84,84,Tottenham Hotspur,26500000.0,130000.0,2238,Right,3.0,5.0,4.0,Yes,2022-07-01,2024,,3.628736,€50.4M,14.0,,SUB,Lean,High,Medium,
228702,F. de Jong,25,Netherlands,87,92,FC Barcelona,116500000.0,230000.0,2238,Right,3.0,3.0,4.0,Yes,2019-07-01,2026,,3.175144,€247.6M,21.0,,RCM,Unique,High,Medium,
194765,A. Griezmann,31,France,83,83,Atlético de Madrid,30500000.0,185000.0,2235,Left,4.0,3.0,4.0,Yes,,"Jun 30, 2023",,3.175144,,8.0,,RS,Unique,Medium,Medium,FC Barcelona
193082,J. Cuadrado,34,Colombia,83,83,Juventus,13500000.0,120000.0,2234,Right,3.0,3.0,5.0,Yes,2017-07-01,2023,,3.175144,€23M,11.0,,RB,Lean,High,Medium,
208574,F. Kostić,29,Serbia,85,85,Eintracht Frankfurt,53000000.0,56000.0,2234,Left,3.0,2.0,3.0,Yes,2019-05-17,2023,,3.628736,€90.1M,10.0,,LM,Normal,High,High,
231281,T. Alexander-Arnold,23,England,87,90,Liverpool,100500000.0,150000.0,2234,Right,3.0,4.0,3.0,Yes,2015-10-07,2025,,2.721552,€193.5M,66.0,,RB,Unique,High,Medium,
176580,L. Suárez,35,Uruguay,84,84,Club Nacional de Football,18000000.0,1000.0,2231,Right,4.0,4.0,3.0,Yes,2022-07-28,2022,,3.628736,€39.6M,9.0,,LS,Unique,High,Medium,
235212,A. Hakimi,23,Morocco,84,87,Paris Saint-Germain,53500000.0,90000.0,2229,Right,2.0,4.0,4.0,Yes,2021-07-06,2026,,3.175144,€103M,2.0,,RWB,Lean,High,Medium,
216352,M. Brozović,29,Croatia,86,86,Inter,58000000.0,110000.0,2227,Right,3.0,4.0,3.0,Yes,2016-07-01,2026,,2.721552,€95.7M,77.0,,CDM,Lean,Medium,Medium,
209331,M. Salah,30,Egypt,90,90,Liverpool,115500000.0,270000.0,2226,Left,4.0,3.0,4.0,Yes,2017-07-01,2023,,3.175144,€213.7M,11.0,,RW,Unique,High,Medium,
241096,S. Tonali,22,Italy,84,90,AC Milan,62500000.0,75000.0,2225,Right,1.0,4.0,3.0,Yes,2021-07-08,2026,,3.175144,€118.8M,8.0,,RCM,Unique,Medium,High,
189509,Thiago,31,Spain,86,86,Liverpool,55500000.0,180000.0,2225,Right,3.0,3.0,5.0,Yes,2020-09-18,2024,,3.175144,€102.7M,6.0,,LCM,Normal,Medium,Medium,
238074,R. James,22,England,84,88,Chelsea,57000000.0,120000.0,2225,Right,2.0,3.0,3.0,Yes,2017-03-03,2025,,3.628736,€109.7M,24.0,,RWB,Stocky,High,Medium,
189332,Jordi Alba,33,Spain,85,85,FC Barcelona,28000000.0,190000.0,2218,Left,3.0,3.0,3.0,Yes,2012-07-01,2024,,2.721552,€57.4M,18.0,,LB,Unique,High,Medium,
213565,T. Lemar,26,France,83,86,Atlético de Madrid,47000000.0,74000.0,2215,Left,3.0,3.0,4.0,Yes,2018-07-01,2023,,2.721552,€99.9M,11.0,,SUB,Lean,High,High,
230767,Renato Sanches,24,Portugal,80,86,Paris Saint-Germain,33000000.0,72000.0,2215,Right,3.0,4.0,4.0,Yes,2022-08-04,2027,,3.175144,€67.7M,11.0,,SUB,Normal,High,High,
190286,Canales,31,Spain,84,84,Real Betis Balompié,35000000.0,42000.0,2213,Left,2.0,3.0,4.0,Yes,2018-07-03,2026,,2.721552,€73.5M,10.0,,RM,Lean,High,Medium,
226754,I. Bennacer,24,Algeria,82,86,AC Milan,40000000.0,63000.0,2213,Left,2.0,3.0,4.0,No,2019-08-04,2024,,3.175144,€71M,4.0,,LCM,Lean,High,Medium,
212462,Alex Telles,29,Brazil,80,80,Sevilla FC,18500000.0,110000.0,2213,Left,3.0,2.0,3.0,Yes,,"Jun 30, 2023",,3.175144,,3.0,,SUB,Unique,High,Low,Manchester United
231969,R. Malinovskyi,29,Ukraine,82,82,Atalanta,30500000.0,73000.0,2213,Left,3.0,4.0,4.0,No,2019-07-16,2023,,3.175144,€51.9M,18.0,,LF,Stocky,Medium,Medium,
238744,W. McKennie,23,United States,80,85,Juventus,31500000.0,90000.0,2212,Right,2.0,3.0,3.0,Yes,2021-07-01,2025,,3.628736,€55.9M,14.0,,LCM,Normal,High,High,
200145,Casemiro,30,Brazil,89,89,Real Madrid CF,86000000.0,300000.0,2209,Right,3.0,3.0,2.0,Yes,2013-07-11,2025,,3.628736,€176.3M,14.0,,CDM,Unique,Medium,High,
220651,Angeliño,25,Spain,83,85,TSG Hoffenheim,42000000.0,64000.0,2209,Left,2.0,3.0,4.0,No,,"Jun 30, 2023",,2.721552,,11.0,,LWB,Normal,High,High,RB Leipzig
230938,F. Kessié,25,Côte d'Ivoire,84,86,FC Barcelona,47500000.0,165000.0,2206,Right,3.0,4.0,3.0,Yes,2022-07-04,2026,,3.628736,€100.9M,19.0,,SUB,Normal,High,High,
200458,L. Digne,28,France,82,82,Aston Villa,27500000.0,100000.0,2206,Left,2.0,2.0,3.0,Yes,2022-01-13,2026,,3.175144,€52.3M,27.0,,LB,Unique,High,Medium,
